time,47-x,47-y,47-z,46-x,46-y,46-z,41-x,41-y,41-z,55-x,55-y,55-z,49-x,49-y,49-z,27-x,27-y,27-z,43-x,43-y,43-z,51-x,51-y,51-z,38-x,38-y,38-z,52-x,52-y,52-z,44-x,44-y,44-z,42-x,42-y,42-z,45-x,45-y,45-z,14-x,14-y,14-z,53-x,53-y,53-z,50-x,50-y,50-z,48-x,48-y,48-z,40-x,40-y,40-z339169.318,2.26,2,-4,2.26,2,-2,2.26,1,-4,1,2,-4,-0.33,2,-4,2.26,1,-2,-0.33,1,-4,2.26,2,0,1,1,-2,-0.33,2,-2,2.26,1,0,-0.33,1,0,1,1,0,-0.33,1,-2,1,2,0,-0.33,2,0,1,2,-2,1,1,-4
339169.73,2.260051,1.459871,-4.000134,2.26123,1.459873,-1.999991,2.260189,0.479984,-4.000128,1.000749,1.459906,-4.000551,-0.3450493,1.459938,-3.981984,2.259927,0.4800017,-2.000049,-0.3352479,0.4800039,-3.993677,2.26074,1.459993,-0.00040316,1.000154,0.4798941,-2.000217,-0.3451444,1.459943,-1.981945,2.260212,0.4799939,-0.000205629,-0.334064,0.4800924,0.005265728,0.9997916,0.4799748,-0.000329859,-0.3357196,0.4799981,-1.993674,0.9995838,1.459976,-0.000930053,-0.3428666,1.460129,0.01640738,1.000326,1.45991,-2.000497,1.000015,0.4799988,-4.000137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.747,2.259968,1.459872,-4.000059,2.26131,1.459877,-1.999924,2.260141,0.4799853,-4.000072,1.000724,1.459905,-4.000473,-0.3483917,1.459913,-3.978701,2.259986,0.479999,-2.000024,-0.336431,0.4799412,-3.992635,2.260703,1.459991,-0.000320464,1.000156,0.4798722,-2.000224,-0.3487198,1.459915,-1.978646,2.26017,0.479996,-0.000157462,-0.3355,0.4800945,0.0065135,0.9998322,0.4799819,-0.000333378,-0.336984,0.4799388,-1.99263,0.9995433,1.46001,-0.000892786,-0.3468889,1.46008,0.020053,1.000329,1.459869,-2.00045,1.000019,0.4800011,-4.000117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.78,2.259857,1.459873,-3.999932,2.261414,1.45988,-1.999852,2.26009,0.4799862,-4.000032,1.00067,1.459905,-4.000367,-0.3510653,1.459904,-3.976539,2.260003,0.4800004,-2.000005,-0.3372602,0.4799194,-3.991959,2.260618,1.459991,-0.000161434,1.000161,0.479846,-2.000155,-0.3516287,1.459905,-1.97648,2.260125,0.4799972,-0.000116972,-0.336764,0.4801554,0.007542646,0.9998218,0.479998,-0.000297057,-0.3378543,0.479926,-1.991939,0.9995832,1.460012,-0.00074546,-0.3506088,1.460111,0.02294483,1.000273,1.459872,-2.000374,1.000014,0.4800014,-4.000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.796,2.259741,1.459873,-3.999788,2.261511,1.459882,-1.99979,2.26004,0.4799878,-4.000003,1.000598,1.459905,-4.000248,-0.352847,1.459896,-3.97561,2.260007,0.4800037,-1.99999,-0.3377424,0.4799189,-3.991699,2.260498,1.459991,2.98E-05,1.000123,0.479845,-2.000094,-0.3536029,1.459896,-1.975541,2.260083,0.4799985,-7.10E-05,-0.3377606,0.4802601,0.008275217,0.9998277,0.479999,-0.000210641,-0.3383718,0.4799347,-1.991663,0.9996633,1.459994,-0.000532509,-0.3535182,1.46019,0.02492703,1.000196,1.459873,-2.000263,1.000009,0.4800011,-4.000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.813,2.259635,1.459874,-3.999654,2.261583,1.459883,-1.999745,2.259994,0.4799896,-3.999978,1.000523,1.459905,-4.000133,-0.3536533,1.459893,-3.975855,2.26001,0.4800076,-1.999978,-0.3379287,0.4799317,-3.991817,2.260361,1.459992,0.000219632,1.000081,0.4798487,-2.000047,-0.3545408,1.459892,-1.975775,2.260043,0.4800004,-2.09E-05,-0.3384682,0.4803052,0.008658621,0.9998668,0.4799964,-0.000122753,-0.3385805,0.4799522,-1.991776,0.9997639,1.460002,-0.000255043,-0.3554755,1.460223,0.02595164,1.000094,1.459872,-2.000134,1.000006,0.4800007,-3.999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.83,2.259552,1.459874,-3.999547,2.261625,1.459883,-1.99972,2.259956,0.4799913,-3.999958,1.000455,1.459942,-4.000054,-0.3535185,1.459896,-3.97706,2.260014,0.4800101,-1.999972,-0.3378276,0.4799531,-3.992208,2.260225,1.459991,0.000383397,1.000039,0.4798528,-2.000002,-0.3544716,1.459896,-1.976977,2.260004,0.4800066,2.53E-05,-0.3388895,0.4803148,0.008765342,0.9999397,0.4799527,2.47E-06,-0.3384904,0.4799737,-1.99217,0.9998665,1.459957,-1.46E-06,-0.3565066,1.460231,0.02615228,0.9999778,1.45987,-2.000008,1.000007,0.4800081,-3.999961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.847,2.259498,1.459874,-3.999479,2.261638,1.459883,-1.999716,2.259931,0.4799923,-3.999943,1.000407,1.459949,-4.000012,-0.3525587,1.459905,-3.978904,2.260015,0.4800111,-1.999972,-0.3374825,0.4799799,-3.992757,2.260102,1.459992,0.000504506,0.999974,0.4798912,-1.999965,-0.3535162,1.459904,-1.978822,2.25997,0.4800121,6.10E-05,-0.3390009,0.4802733,0.008586968,0.9999886,0.4800046,6.36E-05,-0.338143,0.4799973,-1.992719,0.9999884,1.460013,0.000252633,-0.356698,1.460205,0.02564148,0.9998849,1.459885,-1.999898,1.000005,0.4800085,-3.999941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.879,2.259476,1.459874,-3.999448,2.261627,1.459883,-1.99973,2.259922,0.4799928,-3.999937,1.000379,1.45995,-4.000007,-0.350958,1.459914,-3.981005,2.260013,0.480011,-1.999977,-0.3369608,0.4800104,-3.993331,2.260005,1.459991,0.000574826,0.9999334,0.4798976,-1.999939,-0.3518725,1.459913,-1.980928,2.259943,0.4800158,8.23E-05,-0.3388113,0.4801931,0.008175692,1.000024,0.4799812,0.000144504,-0.3376128,0.4800235,-1.993296,1.000114,1.459985,0.00042372,-0.3561541,1.460151,0.02451152,0.9998053,1.459891,-1.999813,1.000002,0.4800082,-3.999938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.896,2.259485,1.459874,-3.999453,2.261597,1.459883,-1.999756,2.259926,0.4799929,-3.999938,1.000373,1.45995,-4.000033,-0.3489527,1.459921,-3.982994,2.260009,0.4800104,-1.999984,-0.3363471,0.480042,-3.993834,2.259941,1.459991,0.000594062,0.999894,0.4799221,-1.999935,-0.3497918,1.459921,-1.982922,2.259927,0.4800175,8.91E-05,-0.3383759,0.4800907,0.007557988,1.000055,0.4799986,0.000170045,-0.3369795,0.4800504,-1.993793,1.000229,1.459998,0.000545346,-0.354983,1.460086,0.02286128,0.999762,1.459927,-1.999745,0.9999978,0.4800079,-3.999947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.913,2.259517,1.459874,-3.999486,2.261558,1.459882,-1.999787,2.25994,0.4799927,-3.999945,1.000383,1.45995,-4.000083,-0.3468019,1.459927,-3.98457,2.260004,0.4800093,-1.999992,-0.3357099,0.4800657,-3.994189,2.259913,1.459991,0.000568516,0.9999024,0.4799234,-1.999939,-0.3475482,1.459927,-1.984495,2.259921,0.4800173,8.19E-05,-0.337788,0.4800486,0.006854946,1.000085,0.4800149,0.000180431,-0.3363197,0.4800699,-1.994141,1.000327,1.460021,0.000602233,-0.3533515,1.460082,0.02093412,0.9997289,1.459935,-1.999697,0.9999945,0.4800079,-3.999962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
